,Power [nW]
0,11071.611203649105
1,11859.397843934026
2,12209.52278742476
3,12385.06468450545
4,12034.960133313945
5,12385.06468450545
6,12560.096700745104
7,12560.096700745104
8,12385.06468450545
9,12560.096700745104
10,12647.388163528529
11,12647.388163528529
12,12560.096700745104
13,12647.388163528529
14,12647.388163528529
15,12647.388163528529
16,12560.096700745104
17,12647.388163528529
18,12647.388163528529
19,12647.388163528529
20,12560.096700745104
21,12734.700033042645
22,12647.388163528529
23,12647.388163528529
