BW,PERCENTAGE,Area [um^2],Power [nW]
1,100,3.666,725.3170
2,50,7.087,863.5480
2,100,7.087,1408.4300
3,33,10.509,999.3110
3,67,10.509,1557.5400
3,100,10.509,2091.5400
4,25,13.931,1133.9100
4,50,13.931,1684.9500
4,75,13.931,2231.0600
4,100,13.931,2774.7100
5,20,17.353,1267.7400
5,40,17.353,1827.6500
5,60,17.353,2369.1800
5,80,17.353,2920.2000
5,100,17.353,3457.8200
6,17,20.775,1401.1900
6,33,20.775,1956.5400
6,50,20.775,2506.3500
6,67,20.775,3072.9900
6,83,20.775,3597.6500
6,100,20.775,4140.9900
7,14,24.196,1534.2900
7,29,24.196,2096.1400
7,43,24.196,2642.6800
7,57,24.196,3195.1300
7,71,24.196,3736.5100
7,86,24.196,4284.9700
7,100,24.196,4824.1000
8,12,27.618,1667.1800
8,25,27.618,2225.6100
8,38,27.618,2778.4100
8,50,27.618,3327.6900
8,62,27.618,3874.6300
8,75,27.618,4419.9200
8,88,27.618,4964.0100
8,100,27.618,5507.2100
