Unnamed: 0,Components,alpha_in,alpha_out,alpha_inout,power [nW],est [nW],err_est [%],VL,err_VL [%],area [um2],est_area [um2],est_area_err [%]
0,add0,49.13,49.98,49.41,20257,21282.0178,-5.06,13951.2,31.13%,,,
1,add1,49.55,49.89,49.67,20532.2,21526.84362,-4.84,13951.2,32.05%,,,
2,add2,49.52,49.97,49.67,20549.1,21526.84362,-4.76,13951.2,32.11%,,,
3,mul0,75.01,49.17,62.09,541070,543065.097,-0.37,185336,65.75%,,,
4,mul1,74.93,49.09,62.01,541259,543064.9629,-0.33,185336,65.76%,,,
5,mul2,74.96,49.13,62.05,540241,543065.0305,-0.52,185336,65.69%,,,
6,mul3,75.03,49.16,62.1,542741,543065.097,-0.06,185336,65.85%,,,
7,reg_Q0,49.17,49.17,49.17,24983,25119.7134,-0.55,4364.49,82.53%,,,
8,reg_Q1,49.98,49.98,49.98,25089,25294.62299,-0.82,4364.49,82.60%,,,
9,reg_Q2,49.89,49.89,49.89,25076,25294.62299,-0.87,4364.49,82.59%,,,
10,reg_Y,49.97,49.97,49.97,24001,25294.62299,-5.39,4364.49,81.82%,,,
11,zfir_8bit,75.01,49.97,49.97,2419440,2337599.475,3.38,,,,,
